gene_name	Control_Rep.A	Control_Rep.B	Control_Rep.C	Treat1_Rep.A	Treat1_Rep.B	Treat1_Rep.C	Treat2_Rep.A	Treat2_Rep.B	Treat2_Rep.C	Treat3_Rep.A	Treat3_Rep.B	Treat3_Rep.C	Control_Mean	Treat1_Mean	Treat2_Mean	Treat3_Mean	fc_treat1	fc_treat2	fc_treat3
C7_00680W_A	170	165	169	189	142	153	488.0000001	430.0000001	352.9999999	627.0000001	740.0000002	800.0000001	168	161.3333333	423.6666666	722.3333331	-0.058416687	1.334468391	2.104203514
C7_00690W_A	477	1093.000003	956	1410.000003	624.0000001	609	1058.999997	1054.999997	906	354	559.0000001	477	842	881	1006.666667	463.3333334	0.065321786	0.257693911	-0.861769756
C7_00700W_A	2937.999999	3421.999989	3222.000003	3362.999992	1604.000004	1965.000004	2099.999996	2098.999998	3063.999996	1998.000003	1977.000006	2332.999997	3194.000006	2310.666669	2420.999993	2102.666661	-0.46705516	-0.39976124	-0.60314416
C7_00710W_A	12857.00001	14307.99997	14240.00004	9616.999976	5298.999992	4651.999995	1301.000003	1269.999999	3943.000013	1999.999994	1242.000002	2366.000003	13801.66662	6522.666677	2171.333328	1869.333329	-1.08130868	-2.66818937	-2.88424674
C7_00720W_A	1635.999997	2065.000005	2032.000005	1763.000001	851.0000002	1047.000002	2194.999993	2144.999996	2528.000003	2447.000007	2704.000007	2961.00001	1910.999996	1220.333335	2289.333328	2704.000007	-0.6470525	0.26059976	0.50076738
C7_00730W_A	3001.999997	3826.000004	3536.999991	7728.999995	3938.000011	5267.999999	3985.999987	3938.999996	7401.999998	10086.99998	8344.999975	14516.99995	3455.000011	5645.000017	5108.999999	10983.00001	0.70828787	0.56435522	1.66851456
C7_00740W_A	1619	1330	1530.000003	1211	1670.000003	1445.000003	2918.000004	3093.999997	2765.999998	3670.000006	3645.000002	4212.999998	1493	1442.000001	2925.999992	3842.666668	-0.050143	0.9707156	1.36389367
C7_00750W_A	3487.999988	3071.999998	2714.000009	2510.000002	1637.999998	2413.999999	1701.999998	1631.000004	2149.999993	1901.999999	1699.999999	2104.000001	3091.333332	2187.333337	1827.66667	1901.999999	-0.49905613	-0.75822625	-0.70071198
C7_00760C_A	44.99999999	15	35.99999999	18.99999999	13	17	42.00000001	33.99999999	35	18.99999999	35	15	32	16.33333333	37.00000001	23	-0.970252657	0.209453366	-0.476438044
C7_00770W_A	141	495.9999999	700.0000001	1372.000004	1613.999996	1290	6086.000006	6116.999997	4792.999985	1929.000003	2236.999998	2586	445.6666666	1425.333336	5665.333343	2250.66667	1.677262391	3.668123881	2.336315441
C7_00780W_A	549	675	695.0000002	1775.000001	2049.999994	1766.999994	2493.000004	2160.000004	1860.000005	1087.000004	1358.999999	1401.999996	639.6666669	1863.999994	2170.999999	1282.666664	1.543009644	1.762967514	1.003754084
C7_00790W_A	822.9999998	723	893.9999999	669.0000002	737	649	1368.999999	1432.000003	1264.000002	2033	2290.999995	2486.999996	813.3333335	685.0000001	1355.000004	2270.333339	-0.247742754	0.736374208	1.480985488
C7_00800C_A	301.0000001	229	299.9999999	556.0000001	606.9999999	534.0000001	1429.999998	1413.999995	1465.000001	966.9999997	874.0000003	1234.000001	276.6666668	565.6666667	1436.333331	1024.999997	1.031803323	2.376169854	1.889403164
C7_00810W_A	738.9999999	865.0000003	881	1039.000001	1066.999999	1109.999999	1442.000001	1380.999996	1479.000003	1573.000005	1589.000001	1901.999999	828.3333335	1072	1434.000001	1688.000002	0.372021554	0.791761674	1.027031554
C7_00820W_A	1022	1193.000002	1148.999998	1779.000006	1713.000005	1695.999995	2775.000007	2622.999996	1990.000006	3692.000006	4018.999994	4263.999992	1121.333334	1729.333329	2462.666666	3991.666653	0.62500077	1.13500616	1.83177604
C7_00830C_A	1723.000005	1787.999999	1965.000004	1813.999999	2666.000009	1695.999995	3356.999996	3735.000006	2534.000002	2906.000005	2827.000004	3454.000006	1825.333333	2058.666672	3208.666673	3062.333328	0.17355031	0.81381398	0.74647138
C7_00840C_A	325	289.0000001	331	270.9999999	254	292.9999999	446.9999999	453.9999999	322	328.0000001	435.0000001	390.9999999	314.9999999	272.6666666	407.6666667	384.6666667	-0.208213486	0.37203817	0.28825699
C7_00850W_A	239	166	261.0000001	152	90.99999999	124	720.9999999	685.9999999	766	653.9999998	905	1081.000002	221.9999999	122.3333333	724.3333331	880.0000003	-0.859742114	1.706094092	1.986943848
C7_00860W_A	4569.000009	3854.999987	3868.999991	2776.999996	2175.000007	2064.000007	2445	2690.000005	3913.999998	4719.999986	3625.000001	4322.000009	4097.666653	2338.666664	3016.333326	4222.333328	-0.80911638	-0.44200676	0.04323785
C7_00870W_A	7	12	12	14	28	30.99999999	146	133	245	1738.000004	1595.000001	2486.999996	10.33333334	24.33333333	174.6666667	1940.000004	1.235628248	4.079226691	7.55260713
