SC5314	wt_no_dox_no_HS_Mean	wt_dox_no_HS_Mean	wt_dox_10_HS_Mean	wt_dox_30_HS_Mean	wt_dox_60_HS_Mean	tet90_no_dox_no_HS_Mean	tet90_dox_no_HS_Mean	tet90_dox_10_HS_Mean	tet90_dox_30_HS_Mean	tet90_dox_60_HS_Mean
C1_13110C_A	11.83605036	10.87395671	12.60733031	12.99205319	12.95945865	11.58527555	11.42923237	12.51109374	12.02848167	12.89450201
C1_13120C_A	10.13955135	10.24317398	10.28732761	11.08347933	10.91762071	9.931722449	9.882643049	10.87932797	9.832362617	11.35185944
CR_04110W_A	10.53462712	9.118941073	8.29615146	8.970585271	7.26052755	10.41890673	8.929751554	8.169925001	6.386581053	7.813781191
C1_13130C_A	11.2540444	9.727920455	12.01924322	11.4467387	9.957585762	10.67713234	9.876005262	12.04108871	9.63481105	9.799821249
C1_13140C_A	15.1410028	14.80332392	14.64462617	12.70029521	12.87824254	15.09077405	15.25187686	13.40832974	13.09429766	11.52143686
C1_13150W_A	3.50250034	3.415037499	6.357552005	6.431845787	3.169925001	3.222392421	1.584962501	5.92283214	3.938599455	3.415037499
C1_13160W_A	7.902877533	9.73978061	8.860052345	10.57585435	11.39267519	9.265224337	11.22701419	9.535923342	11.90061527	11.61853845
C1_13170C_A	11.0313566	10.50845506	11.4541279	11.70015069	12.48675124	11.24376903	11.15755747	11.31099139	11.4484605	12.4123052
C1_13180W_A	4.142957954	4.321928095	6.62935662	8.64625868	6.209453366	4.662965013	4.115477217	8.011227255	5.874469118	7.499845887
C1_13190W_A	12.0555084	12.55850044	11.9918761	13.11645227	12.50308035	12.26131141	13.04871391	12.93215322	12.88015746	12.85765708
C1_13200C_A	8.819114636	8.415037499	8.132713923	9.526173169	7.716533694	8.813781191	7.761551232	9.136136688	6.874469118	8.018663844
C1_13210C_A	0	0	0.736965594	0.736965594	0	0.415037499	0	0.415037499	0	0
C1_13220C_A	9.95806932	10.71195371	10.46352437	10.95516554	10.74399286	10.7053444	10.63390341	10.60517082	10.08037342	11.10088131
C1_13240W_A	8.067882472	8.473029222	9.057089192	8.930737338	8.659401334	8.377933505	9.118941073	8.856944204	8.996238081	8.372139541
C1_13250W_A	9.971543554	9.603626345	10.35057091	10.10197567	10.7984718	9.848101264	9.821242505	9.937619031	10.15439621	11.15608308
C1_13260W_A	10.9853676	11.22821744	10.13271392	10.82760735	9.899860393	10.61624251	10.67625095	10.8631538	10.44501485	10.01866384
C1_13270W_A	9.609178738	10.23162121	8.986790143	10.79549856	11.66829408	9.560332834	10.23800659	10.62783783	10.15059352	12.14921786
C1_13280C_A	10.6411486	10.11157041	10.36340473	10.58057264	10.78327111	10.54882191	10.07904026	10.374315	10.24436384	10.78926193
C1_13290W_A	3.736965594	4.297680549	3.807354922	6.044394119	3.169925001	3.459431619	2.874469118	4.874469118	3	4.297680549
C1_13300C_A	12.74546425	12.83091128	13.29615146	13.97605688	13.14704589	12.63367641	12.64693366	13.81898154	12.4278366	13.66615002
C1_13310W_A	8.233619677	8	8.615936104	9.056186097	8.156504486	8.276124405	8.1275645	8.376487194	7.464886049	8.83815341
C1_13320C_A	11.44104214	11.6635581	12.18848582	10.55074679	11.36303963	11.5533093	11.03525733	10.5862143	11.5923013	10.64265344
CR_04120C_A	9.77148947	9.90488546	9.371413656	10.00140819	8.609794354	10.01076119	10.08081753	9.28077077	9.01309	8.7736887
C1_13330C_A	10.91587938	10.52323522	10.98394365	11.10438035	10.56700537	10.78272526	10.29423782	10.64445719	10.41327532	9.990576746
C1_13350W_A	11.59913799	11.96096727	12.23431849	11.57711407	11.90061527	11.76970012	11.61087105	10.8958277	12.0853618	12.18539168
C1_13360C_A	7.251087854	5.115477218	7.984893107	8.518325308	7.932706887	7.105035471	5.874469118	7.872418378	6.709658249	8.598672881
C1_13370W_A	9.448460501	8.217553865	9.390885467	9.805743872	8.438791853	9.385862401	8.230420795	9.89431253	7.981091538	8.430452552
C1_13380W_A	7.785724906	6.215937399	8.863153805	9.211077108	8.591210649	7.531381461	6.584962501	8.808427957	7.787902559	9.32343012
C1_13390W_A	7.058893689	6.309855263	7.090994532	8.393747958	7.902877533	7.048032696	6.803054785	7.47843258	6.142957954	8.299208018
C1_13400C_A	10.90664011	10.50514992	10.52584703	10.033423	8.49718654	10.28038414	10.2988263	10.25424129	9.096275911	8.053473413
C1_13410W_A	9.269126679	8.993410191	8.986790143	9.981567282	8.183221824	9.177419538	8.988684687	9.879072652	8.288481612	8.136136688
C1_13420C_A	11.62357671	11.95698109	12.04962169	11.80265099	11.68197041	11.71094989	11.65523255	11.66489167	11.39303287	11.51701317
