gene_name	wt_dox_no_HS_Rep.A	wt_dox_no_HS_Rep.B	wt_dox_no_HS_Rep.C	wt_dox_10_HS_Rep.A	wt_dox_10_HS_Rep.B	wt_dox_10_HS_Rep.C	wt_dox_30_HS_Rep.A	wt_dox_30_HS_Rep.B	wt_dox_30_HS_Rep.C	wt_dox_60_HS_Rep.A	wt_dox_60_HS_Rep.B	wt_dox_60_HS_Rep.C	wt_dox_no_HS_Mean	wt_dox_10_HS_Mean	wt_dox_30_HS_Mean	wt_dox_60_HS_Mean
C1_14060W_A	3740.9999985716718	1765.0000022528468	2231.999997170055	4114.000004206307	4395.999997107621	4929.999995676285	5606.000003759518	5886.00001248277	10797.999989152882	33898.00010224333	25684.999942417802	28533.99994286067	2579.3333284666764	4480.000009486796	7430.000023556693	29372.333389899177
C1_14080W_A	1733.000001008824	2285.000000086427	2486.999996178371	3721.0000125716124	2481.9999997757363	2233.0000064659666	4029.999990459678	4073.9999859769187	2900.999999601862	808.9999997588872	887.9999997845043	1133.0000032822986	2168.333332004701	2812.0000018077503	3668.333323015678	943.3333333345828
C1_14090W_A	1742.0000016918182	3227.999992666034	3197.999992285201	11266.00002936535	12968.000040291616	11544.999978701828	13401.999983437521	14857.99999226625	24296.999968232907	12954.000011280697	10239.000001277325	13514.999986678336	2722.666666371043	11926.33329708685	17519.000042124375	12235.999986784345
C1_14100W_A	1583.9999999125923	1238.000000674252	1482.999997476794	1600.0000002498375	1485.9999994452373	1465.0000007010638	2109.999994742829	2279.0000011605966	2890.999993032381	3303.9999967492463	2659.999999283598	3115.000004509687	1434.9999984452859	1516.9999997402438	2426.6666593247396	3026.3333425880505
C1_14110C_A	55085.00012674307	65980.00011651649	66142.00000405672	43897.00011249096	39221.000019361985	23986.999936027743	13898.000042940037	15185.999970191664	14141.999961071142	13748.99998956009	10765.999999855007	11154.999975787045	62402.33313616763	35701.666791850854	14408.666679517662	11889.999961816895
C1_14120C_A	1004.9999999538207	983.9999997686192	816.9999999174996	439.0000001413865	115.99999998974256	109.00000001685389	32.99999999180078	37.00000000951612	168.00000002576306	5.000000000390373	6.999999999720504	15.000000004070316	935.3333333989809	221.33333323733	79.33333335605577	8.999999997240714
C1_14130W_A	185.00000006202433	185.00000006202433	284.99999998970713	212.0000000641866	187.00000001456436	168.00000002576306	294.00000003334645	279.000000033033	178.99999996721286	56.999999993491166	50.00000000780745	61.00000001848204	218.333333226844	188.9999999710384	250.66666667422794	55.99999999776403
C1_14140C_A	1205.999998411652	1604.9999977642456	1416.9999971339525	1854.0000017663224	2125.0000060207426	1476.0000040305508	2530.000000733606	2729.000001373034	2204.0000021828387	2083.9999967086515	2019.0000065334355	2052.000006248254	1409.3333326871043	1818.3333327159855	2487.666666555378	2051.666665741353
C1_14150C_A	534.0000001156488	1155.9999979962602	1173.0000016029446	1120.000002371699	1155.000002959427	866.9999998666859	1109.9999990479	1214.0000031507714	1365.0000039669872	1080.0000022077447	894.9999999059412	1061.9999994080442	954.3333331493079	1047.3333300135073	1229.6666641320946	1012.3333330201643
C1_14160W_A	569.9999999794143	828.999999715132	823.9999998953541	1000.0000002342233	650.9999999252589	704.0000001769902	1114.9999962843501	1161.0000025224156	977.0000000214097	248.99999998824964	266.00000009196935	276.0000000424381	740.9999998429172	785.0000001202567	1084.3333360992497	263.66666671205775
