gene_name	Control_Rep.A	Control_Rep.B	Control_Rep.C	Control_Mean	Treat1_Rep.A	Treat1_Rep.B	Treat1_Rep.C	Treat1_Mean	Treat2_Rep.A	Treat2_Rep.B	Treat2_Rep.C	Treat2_Mean	Treat3_Rep.A	Treat3_Rep.B	Treat3_Rep.C	Treat3_Mean	fc_treat1	fc_treat2	fc_treat3
C1_00010W_A	1	0	0	0.41503749900000003	1	2.807354922	0	1.736965594	5.129283017	4.807354922	3	4.564784619	2	0	2.321928095	1.736965594	1.3219280949999999	4.14974712	1.3219280949999999
C1_00020C_A	9.651051691	9.317412614	9.4325419	9.47370575	9.152284842	9.317412614	8.873444113	9.125843933	10.88569637	11.04302728	10.56795608	10.84549005	10.17242751	9.763212367	10.09539702	10.02097994	-0.34786181699999996	1.3717842999999998	0.5472741899999994
C1_00030C_A	5.459431619	4.700439718	5.285402219	5.183221824	4.64385619	5.357552005	4.857980995	4.984893108	6.14974712	6.087462841	5.523561956	5.94641896	6.087462841	4.906890596	5.906890596	5.718818248	-0.19832871600000074	0.7631971359999996	0.5355964239999996
C1_00040W_A	10.88493365	10.47167521	10.94690627	10.78272526	11.35259523	12.23930017	11.65329295	11.79644526	11.26268214	11.43879185	11.37612539	11.36102992	13.09572667	12.32558655	12.68628166	12.7368247	1.0137200000000013	0.5783046600000006	1.9540994400000002
C1_00050C_A	0	1	1	0.736965594	1	5.882643049	4.584962501	4.824428435	5.426264755	5.554588852	4.584962501	5.247927513	3	3.321928095	3.584962501	3.321928095	4.087462841	4.510961919	2.5849625010000006
C1_00060W_A	13.40673648	13.04746477	13.11292814	13.19767745	12.86205613	13.09027786	12.25709314	12.77732382	13.15592502	13.35851385	12.81958038	13.12815547	13.25103853	13.00509818	12.6836526	12.99841414	-0.420353630000001	-0.06952198000000114	-0.19926331000000097
C1_00070W_A	12.8637991	12.68737568	12.68628166	12.74826275	12.6291289	12.23810614	11.51619248	12.19793336	11.15671514	11.37340896	11.91662592	11.51865316	10.8153833	10.48179943	10.22037833	10.52649924	-0.5503293899999998	-1.229609590000001	-2.2217635100000006
C1_00080C_A	10.37503943	9.812177306	10.18858885	10.14380835	10.15101654	9.955649908	9.477758266	9.888235883	10.40832974	10.65284497	10.32642949	10.46930264	9.649256178	9.426264755	9.696967526	9.595568307	-0.25557246700000025	0.32549429000000013	-0.5482400429999996
C1_00090W_A	7.330916878	6.614709844	7.055282436	7.029747344	6.129283017	6.882643049	5.523561956	6.285402219	7	7.247927513	6.266786541	6.894817763	5.523561956	5.672425342	5.459431619	5.554588852	-0.7443451249999996	-0.13492958099999958	-1.4751584919999994
C1_00100C_A	9.995767151	10.05256805	9.985841937	10.01169317	10.87728413	10.88264305	10.44501485	10.74903138	10.75988818	10.99010396	10.72536626	10.82998694	10.89784546	10.52552081	10.45635442	10.63994359	0.7373382100000008	0.8182937700000004	0.6282504200000005
C1_00110W_A	12.60130653	12.75780667	12.69087101	12.68474862	13.17367714	13.26810334	12.50556348	13.02005395	13.93682194	14.15884633	13.46658634	13.88203798	12.94727165	12.88302507	12.57601187	12.81097322	0.33530532999999874	1.1972893599999992	0.12622459999999858
C1_00120C_A	10.73301532	10.66088727	10.54109662	10.64715858	11.1234748	10.77231457	10.67771964	10.87087841	10.91662592	11.04848687	11.28424575	11.09121498	10.59712143	10.15987134	10.2772874	10.35681874	0.22371983000000037	0.44405640000000085	-0.2903398399999996
C1_00130C_A	11.06944977	10.80815977	10.86882255	10.91985649	11.27844946	11.19044202	10.77561028	11.09759324	11.98156728	12.04644195	11.68079903	11.91151683	11.81738343	11.70087316	11.81016994	11.7771183	0.1777367499999991	0.9916603399999993	0.8572618099999989
