gene_name	Control_Mean	Treat1_Mean	Treat2_Mean	Treat3_Mean
C1_00010W_A	1.333333333075627	3.3333333329493153	23.666666670217815	3.3333333329493153
C1_00020C_A	711.0000001875629	558.6666666751105	1839.999998795553	1039.0000007891647
C1_00030C_A	36.333333331928806	31.6666666752316	61.66666667542253	52.66666668652773
C1_00040W_A	1761.666672101892	3557.0000023130324	2630.3333266319164	6826.000004263647
C1_00050C_A	1.6666666664746577	28.33333332515272	37.99999998831613	10.000000000780746
C1_00060W_A	9395.000024046532	7020.333344994502	8952.999994171303	8183.000019345792
C1_00070W_A	6880.333352830322	4698.333343960951	2934.0000087989993	1475.0000008827678
C1_00080C_A	1131.3333342574847	947.6666666953253	1417.6666677430565	773.6666668686639
C1_00090W_A	130.66666672154807	78.0000000074476	118.99999997459942	47.00000001050191
C1_00100C_A	1032.3333355132781	1720.9999975662283	1820.3333323830925	1595.6666666682036
C1_00110W_A	6583.9999980758375	8306.666682844721	15097.6666785433	7185.999999989217
C1_00120C_A	1603.6666629305826	1872.6666687367153	2181.6666725469995	1311.3333319177625
C1_00130C_A	1937.3333374805002	2191.3333327878086	3852.3333433474963	3509.6666651830824
C1_00140W_A	2259.3333321386895	1768.9999967010208	3059.6666609465665	1702.3333298037446
C1_00150C_A	951.3333334951486	1377.9999974169773	1474.666667163896	1339.6666654245996
C1_00160C_A	13431.999954034502	4191.999995532675	2643.00000065664	1011.3333329646923
C1_00170W_A	1630.0000009960133	1944.6666664280522	4987.666682043662	3376.0000030252713
C1_00180W_A	59325.99986577097	28916.66673643427	7142.333329058716	6261.999986376645
C1_00190C_A	6.0000000011596795	11.000000002765471	45.999999998182155	6.999999999720504
C1_00200C_A	78.66666668625923	70.33333333401443	357.33333339856944	142.00000004875258
C1_00210C_A	7578.666674432773	3286.666665427088	4838.333330674312	2666.6666593822792
C1_00220W_A	10459.666699898415	8887.333306344522	9856.666651044818	7172.666661559627
C1_00230C_A	823.3333334755016	871.0000002421779	1186.333335974055	1280.6666640529772
C1_00270W_A	40.333333317860905	119.66666674116142	25.666666667133768	43.33333332410321
C1_00280C_A	1	1	1	1
C1_00290W_A	921.6666664105431	1479.333331819997	469.3333333606142	1181.9999998545484
C1_00310W_A	852.6666665718186	1238.9999981616313	2638.3333254634995	4791.666650440952
C1_00320W_A	962.0000001533379	1001.333332782854	1906.3333340176282	1359.6666656569585
C1_00330C_A	1418.6666717996932	4406.000000913505	4628.333346213753	4672.666672457662
C1_00340W_A	1439.0000032513533	5559.333324769678	7995.666649339357	7665.999985118985
C1_00350C_A	590.6666667346864	1674.3333345511398	1841.3333288191423	2046.666667324368
C1_00360W_A	310.66666668106757	823.3333334755016	2326.3333402111825	1924.9999993733732
C1_00370W_A	247.66666669800662	303.99999990652924	488.3333331341495	244.3333332634464
C1_00380C_A	1498.6666671863036	1869.6666706055532	2323.9999945157315	1036.000001661287
C1_00390W_A	836.6666665988267	1069.3333364954908	1279.0000009914677	869.6666666086184
C1_00400W_A	1989.6666697991618	1969.9999940686243	2530.9999962971087	1737.0000015526832
C1_00410C_A	736.666666892545	873.000000224232	1864.6666695682563	1023.6666671954823
C1_00420W_A	4874.000014448265	2572.3333338915822	2062.3333363460342	2123.3333385986252
C1_00430W_A	1036.3333328880335	1203.6666631396001	1738.666662436678	1278.3333318543532
C1_00440W_A	5670.000000669728	6454.666674989716	10470.666659103423	6625.666672266195
C1_00450C_A	2475.333334819904	1643.666670335265	1371.6666623047074	1086.3333363321813
C1_00460W_A	2222.9999953358133	1660.666671823902	2603.666658437111	1872.0000005405618
C1_00470C_A	1549.6666668838504	686.3333333756264	1332.0000027040214	1230.333332033277
