orf19.xxx	wt_no_dox_no_HS_Rep.A	wt_no_dox_no_HS_Rep.B	wt_no_dox_no_HS_Rep.C	wt_no_dox_no_HS_Mean	wt_dox_no_HS_Rep.A	wt_dox_no_HS_Rep.B	wt_dox_no_HS_Rep.C	wt_dox_no_HS_Mean	wt_dox_10_HS_Rep.A	wt_dox_10_HS_Rep.B	wt_dox_10_HS_Rep.C	wt_dox_10_HS_Mean	wt_dox_30_HS_Rep.A	wt_dox_30_HS_Rep.B	wt_dox_30_HS_Rep.C	wt_dox_30_HS_Mean	wt_dox_60_HS_Rep.A	wt_dox_60_HS_Rep.B	wt_dox_60_HS_Rep.C	wt_dox_60_HS_Mean	tet90_no_dox_no_HS_Rep.A	tet90_no_dox_no_HS_Rep.B	tet90_no_dox_no_HS_Rep.C	tet90_no_dox_no_HS_Mean	tet90_dox_no_HS_Rep.A	tet90_dox_no_HS_Rep.B	tet90_dox_no_HS_Rep.C	tet90_dox_no_HS_Mean	tet90_dox_10_HS_Rep.A	tet90_dox_10_HS_Rep.B	tet90_dox_10_HS_Rep.C	tet90_dox_10_HS_Mean	tet90_dox_30_HS_Rep.A	tet90_dox_30_HS_Rep.B	tet90_dox_30_HS_Rep.C	tet90_dox_30_HS_Mean	tet90_dox_60_HS_Rep.A	tet90_dox_60_HS_Rep.B	tet90_dox_60_HS_Rep.C	tet90_dox_60_HS_Mean
CaalfMp01	2	0	2.584962501	1.874469118	3.459431619	1.584962501	2.321928095	2.662965013	2.584962501	1.584962501	1	1.874469118	1	0	1	0.736965594	6.022367813	5.584962501	2	5.285402219	3.169925001	2.321928095	1.584962501	2.502500341	3	2.321928095	1	2.321928095	0	1	1.584962501	1	0	3.584962501	3.321928095	2.938599455	1.584962501	3	1	2.115477217
CaalfMp02	0	0	0	0	2.321928095	1	0	1.415037499	0	0	0	0	0	0	0	0	2.321928095	3.169925001	0	2.321928095	2	0	0	1	0	1	0	0.415037499	0	0	1	0.415037499	0	1	1	0.736965594	0	2.584962501	0	1.415037499
CaalfMp03	1	0	1.584962501	1	3.169925001	0	1.584962501	2.115477217	1.584962501	1	1	1.222392421	1.584962501	2.321928095	1	1.736965594	4.087462841	4.392317423	1	3.736965594	2.584962501	0	0	1.415037499	2.321928095	0	0	1.222392421	2	1	1	1.415037499	1	2	2.584962501	2	1	3.321928095	0	2.115477217
CaalfMp04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMp05	0	0	2.807354922	1.584962501	2.584962501	1	1	1.736965594	2	0	1.584962501	1.415037499	2	1.584962501	1.584962501	1.736965594	6.845490051	5.857980995	0	5.857980995	2.321928095	1	1	1.584962501	1	3	0	1.874469118	0	0	2.321928095	1.222392421	1	3.584962501	3.321928095	3	2	4.247927513	1.584962501	3.115477217
CaalfMp06	2.584962501	0	1	1.584962501	2.584962501	2.584962501	2	2.415037499	2.321928095	1.584962501	0	1.584962501	2	2.321928095	1.584962501	2	4.523561956	4.169925001	0	3.807354922	1	2.321928095	1	1.584962501	2.807354922	1.584962501	1.584962501	2.115477217	1	1	1	1	1	2.321928095	3	2.321928095	1	3.321928095	1	2.222392421
CaalfMp07	0	0	0	0	1	0	1	0.736965594	0	0	0	0	0	0	0	0	1	2.321928095	1	1.584962501	0	0	0	0	0	0	0	0	0	1	0	0.415037499	1	0	0	0.415037499	1	0	0	0.415037499
CaalfMp08	2.321928095	1.584962501	3.459431619	2.662965013	2.584962501	0	0	1.415037499	1	0	1	0.736965594	2.584962501	2.321928095	2	2.321928095	5.857980995	5.906890596	2	5.345774837	1	2	1.584962501	1.584962501	2.321928095	0	1.584962501	1.584962501	2	1.584962501	1	1.584962501	1.584962501	3.807354922	2.807354922	3	2.321928095	4.523561956	2.321928095	3.459431619
CaalfMp08.1	2	0	1.584962501	1.415037499	1.584962501	0	1	1	2	1	2	1.736965594	1	2.321928095	1	1.584962501	3.321928095	4.087462841	1	3.273018494	0	1	0	0.415037499	1	0	1.584962501	1	0	0	0	0	0	1.584962501	0	0.736965594	1	2.584962501	0	1.584962501
CaalfMp08.2	1.584962501	1	1.584962501	1.415037499	1.584962501	0	0	0.736965594	0	0	0	0	1.584962501	0	1	1	1.584962501	4.247927513	0	2.938599455	1.584962501	1	0	1	1	1	0	0.736965594	0	0	1	0.415037499	0	2.321928095	1	1.415037499	0	2.807354922	1	1.736965594
CaalfMp08.3	1	0	1	0.736965594	0	1	0	0.415037499	0	0	0	0	0	1	1.584962501	1	1.584962501	3.321928095	0	2.222392421	0	1	0	0.415037499	1.584962501	0	0	0.736965594	0	1	1	0.736965594	0	0	1.584962501	0.736965594	1.584962501	1.584962501	0	1.222392421
CaalfMp08.4	0	0	0	0	0	0	0	0	0	0	0	0	1	1.584962501	1	1.222392421	1.584962501	1.584962501	0	1.222392421	1	0	0	0.415037499	0	0	0	0	0	1	0	0.415037499	0	0	1	0.415037499	1	1.584962501	0	1
CaalfMp09	1.584962501	0	2.807354922	1.874469118	3.459431619	1	0	2.222392421	1.584962501	1	0	1	0	1	2.321928095	1.415037499	3.906890596	4.169925001	1	3.544320517	2.321928095	1	0	1.415037499	2.584962501	0	1	1.584962501	0	0	1	0.415037499	1.584962501	1	3.807354922	2.662965013	2	3.321928095	1	2.415037499
CaalfMp10	0	0	0	0	0	0	0	0	0	1	0	0.415037499	0	0	0	0	0	3	0	1.736965594	0	0	0	0	1	0	0	0.415037499	0	0	0	0	0	1	1	0.736965594	1	1.584962501	0	1
CaalfMp11	2.807354922	0	3.584962501	2.736965594	3.321928095	1.584962501	0	2.222392421	2.807354922	2.584962501	2.321928095	2.584962501	2.321928095	1.584962501	2.321928095	2.115477217	5.64385619	5.426264755	0	4.969626351	1	1.584962501	1	1.222392421	2.321928095	1.584962501	1	1.736965594	2.807354922	1	1.584962501	2	2.321928095	3	3.584962501	3.058893689	1	3.700439718	1	2.502500341
CaalfMp11.1	2.807354922	2	1.584962501	2.222392421	2.584962501	0	3.700439718	2.736965594	1	2.584962501	3.321928095	2.584962501	1.584962501	1	2.321928095	1.736965594	1.584962501	1	2.584962501	1.874469118	1	2.807354922	2.807354922	2.415037499	2	2.807354922	1	2.115477217	2.321928095	1	2.584962501	2.115477217	1.584962501	0	1.584962501	1.222392421	0	1	2	1.222392421
CaalfMp12	0	0	1.584962501	0.736965594	0	0	0	0	0	0	0	0	0	0	0	0	2.584962501	1.584962501	0	1.736965594	0	0	0	0	1.584962501	0	1	1	0	0	0	0	1	0	0	0.415037499	0	1.584962501	0	0.736965594
CaalfMp13	2.584962501	1.584962501	2.584962501	2.321928095	3.321928095	3	1	2.736965594	2	1	1	1.415037499	0	1	1	0.736965594	5.727920455	5.459431619	0	5.029747344	1	1.584962501	0	1	2	1.584962501	0	1.415037499	1.584962501	1	1	1.222392421	1	3.169925001	2.807354922	2.584962501	1	4.169925001	1.584962501	2.938599455
CaalfMp14	2.807354922	0	1	1.736965594	3.700439718	2.321928095	1	2.736965594	2	2	1.584962501	1.874469118	0	2	0	1	2.321928095	4.321928095	1	3.169925001	3	1.584962501	1.584962501	2.222392421	2.584962501	1	1	1.736965594	1.584962501	1	2.321928095	1.736965594	1	3	3	2.584962501	0	3.459431619	1	2.222392421
CaalfMp15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMr16	8.103287808	6.977279923	10.18611424	9.027905997	10.28771238	7.960001932	8.77148947	9.333900736	8.816983623	7.826548487	7.876516947	8.249508549	8.21916852	9.17990909	8.124121312	8.591210649	12.15260174	12.63208641	7.6794801	11.85408918	8.527477006	7.912889336	7.794415866	8.115477217	10.37612539	7.721099189	7.62935662	9.178249866	8.584962501	7.257387843	8.30833903	8.153129759	8.405141463	9.903881846	10.4655664	9.819646897	8.654636029	11.08945048	8.519636253	9.941047606
CaalfMr17	6.64385619	5.491853096	9.20701432	7.938599455	8.721099189	6.554588852	6.820178962	7.711953706	7.044394119	6.044394119	5.754887502	6.392317423	6.614709844	7.64385619	6.50779464	7.018663845	12.33706434	11.93332182	5.584962501	11.57191062	6.539158811	6.599912842	5.807354922	6.357552005	8	6.442943496	6.087462841	7.098032083	6.409390936	5.491853096	6.285402219	6.115477217	6.845490051	9.100662339	8.851749041	8.552028611	7.087462841	10.08214904	6.794415866	8.793332355
CaalfMt18	0	0	1	0.415037499	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.415037499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt35	1	0	1.584962501	1	1	1	0	0.736965594	0	0	0	0	0	1	0	0.415037499	1.584962501	1.584962501	0	1.222392421	0	0	0	0	1	0	0	0.415037499	0	0	0	0	0	0	0	0	0	1	0	0.415037499
CaalfMt36	0	0	0	0	0	0	1	0.415037499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt37	0	0	1	0.415037499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.415037499
CaalfMt39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMt47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD39	1	0	0	0.415037499	0	0	0	0	1	1.584962501	1.584962501	1.415037499	3.584962501	2.807354922	2	2.938599455	0	2.321928095	1	1.415037499	0	0	0	0	0	1	0	0.415037499	1	1	2	1.415037499	0	1	1	0.736965594	1.584962501	0	2.321928095	1.584962501
ITS1	7.614709844	6.832890014	7.607330314	7.395177077	7.400879436	7.330916878	8.247927513	7.723376529	9.184875343	13.84764464	13.27190067	13.0370321	13.46505617	13.62582298	12.13249973	13.21062062	12.14178784	12.36850646	12.76404222	12.44803024	8.447083226	6.977279923	6.022367813	7.491853096	6.95419631	7.022367813	6.06608919	6.741466986	9.276124405	14.01288638	13.01611184	13.04956497	9.147204925	11.42574042	10.69609817	10.69609817	13.35645197	12.19352536	13.15418521	12.98299357
ITS2	9.199672345	7.693486957	8.897845456	8.727920455	8.997179481	8.813781191	9.990103964	9.36486421	10.37829486	14.81232775	14.23915097	14.00842862	14.09605624	14.2610665	12.97996102	13.87987038	13.16616308	13.18270471	13.55734403	13.31368612	9.700439718	7.876516947	7.693486957	8.730187062	8.353146825	8.451211112	7.50779464	8.16155182	10.53527538	14.93728186	13.88693494	13.96599466	10.26795708	12.39043769	11.62479546	11.66770293	14.07506126	12.92814822	13.73396861	13.65426308
LSU-C2809	1.584962501	1	2	1.584962501	0	0	0	0	1	2.321928095	3	2.321928095	3	4.857980995	2.584962501	3.841302254	1	2.584962501	2	2	0	1	2.321928095	1.415037499	1	1	0	0.736965594	1.584962501	3.700439718	3.169925001	3.058893689	1	1	2.321928095	1.584962501	3.459431619	1.584962501	3.700439718	3.169925001
LSU-G1431	1	1.584962501	1	1.222392421	1	0	1	0.736965594	1	0	2	1.222392421	3.169925001	1.584962501	1.584962501	2.321928095	0	1	1	0.736965594	0	1.584962501	0	0.736965594	1	1	1	1	0	2.584962501	1.584962501	1.736965594	0	0	0	0	1	2	1	1.415037499
orf19.10	5.727920455	3.584962501	5.044394119	5.029747344	5.781359714	4.584962501	4.584962501	5.101538026	2	2.584962501	2.584962501	2.415037499	6.108524457	6.044394119	7.022367813	6.464886049	3.321928095	4.087462841	3.700439718	3.736965594	4.459431619	3.906890596	5.247927513	4.64385619	5.087462841	6.044394119	5.930737338	5.745954377	5.523561956	4.247927513	5.087462841	5.044394119	4.392317423	4.906890596	5.129283017	4.841302254	3.321928095	5.554588852	3.700439718	4.544320516
orf19.100	7.8008999	7.011227255	7.276124405	7.400879436	9.554588852	8.238404739	8.994353437	9.026062296	7.392317423	7.14974712	7.14974712	7.235216462	8.77478706	8.700439718	8.87036472	8.783543961	8.027905997	8.169925001	8.194756854	8.132713923	7.882643049	6.977279923	8.290018847	7.813781191	8.77148947	7.977279923	9.162391329	8.716533694	8.224001674	8.224001674	7.882643049	8.118941073	7.864186145	8.361943774	8.459431619	8.251087854	8.836050355	8.832890014	8.636624621	8.77148947
orf19.1002	8.707359132	8.044394119	8.339850003	8.389452089	9.45532722	8.820178962	9.278449458	9.208640809	8.686500527	8.124121312	8.317412614	8.395177077	9.269126679	9.368506462	9.805743872	9.500509958	8.804131021	9.016808288	9.392317423	9.091876106	8.417852515	8.113742166	8.915879379	8.520946008	8.651051691	8.703903573	9.189824559	8.869336793	9.977279923	9.164906927	9.45532722	9.572384435	8.108524457	8.108524457	8.64385619	8.309855262	9.159871337	9.189824559	9.236014192	9.195577267
orf19.1005	4.169925001	3.459431619	4.087462841	3.938599455	3.700439718	2.321928095	3.700439718	3.36923381	3.459431619	3.807354922	3.584962501	3.624490865	5.977279923	5.906890596	6.794415866	6.285402219	4.321928095	4.321928095	4.700439718	4.459431619	4.169925001	4	5.169925001	4.544320516	3.584962501	4.95419631	5.209453366	4.736965594	5.169925001	4.95419631	5.044394119	5.058893689	3.584962501	4	5.426264755	4.564784619	4	5.087462841	5.044394119	4.790076931
orf19.1007	8.754887502	8.672425342	9.147204925	8.873444113	8.988684687	8.266786541	8.816983623	8.722238308	9.430452552	8.994353437	8.933690655	9.136991112	9.677719642	9.631177056	9.442943496	9.587465008	9.862637358	9.764871591	10.09011242	9.912390393	8.491853096	8.876516947	8.710806434	8.701595261	7.857980995	8.665335917	8.370687407	8.335390355	9.906890596	9.773139207	9.475733431	9.729620744	8.768184325	8.768184325	8.903881846	8.814849458	10.24198315	9.961449694	10.18982456	10.13613669
orf19.1008	1	0	0	0.415037499	0	0	0	0	2.584962501	2.584962501	2.321928095	2.502500341	4.247927513	4.087462841	2.807354922	3.841302254	1.584962501	0	1	1	0	0	0	0	0	0	0	0	1.584962501	3.906890596	1.584962501	2.807354922	1	1	0	0.736965594	2.584962501	1	1.584962501	1.874469118
orf19.1009	1.584962501	0	0	0.736965594	2	1	0	1.222392421	2	3.169925001	2.321928095	2.584962501	5.584962501	5.584962501	3.906890596	5.209453366	1.584962501	3.169925001	2	2.415037499	0	2	1	1.222392421	0	0	0	0	2	5.129283017	3.584962501	4.087462841	0	1	0	0.415037499	2.321928095	1.584962501	3.459431619	2.662965013
orf19.101	7.607330314	7.087462841	7.434628228	7.392317423	9.388017285	8.209453366	8.618385502	8.82336724	8.113742166	8.154818109	8.348728154	8.209453366	8.442943496	8.28077077	8.577428828	8.438791853	8.665335917	8.73470962	9.057991723	8.829722735	8.392317423	7.826548487	8.751544059	8.372139541	9.008428622	8.370687407	9.22881869	8.912889336	8.64385619	8.14974712	8.124121312	8.326429487	9.422064766	10.08480839	10.1959873	9.939089418	9.296916207	8.951284715	9.209453366	9.159871337
orf19.1010	8.924812504	8.357552005	8.515699838	8.619608643	9.055282436	8.573647187	8.64385619	8.7736887	8.672425342	8.46760555	8.554588852	8.567322341	9.707359132	9.577428828	9.457380879	9.584336195	8.353146825	8.787902559	8.603626345	8.592457037	8.499845887	8.50779464	8.487840034	8.498516827	7.499845887	7.900866808	7.569855608	7.667702931	9.523561956	9.438791853	9.411510988	9.458748363	7.832890014	8.087462841	8.348728154	8.105035471	8.820178962	8.754887502	9.098032083	8.898853276
orf19.1011	10.83289001	9.994353437	10.43775207	10.46182047	11.39339046	10.91960824	11.26502894	11.20620039	11.39713981	11.34374092	11.36522885	11.36887018	10.89935692	10.88950396	11.05596023	10.95031288	11.4046094	11.72195361	11.82057788	11.65969864	11.03754695	10.42206477	11	10.84601267	11.12992693	11.20028561	11.24733418	11.19332001	10.76983784	10.84627391	10.8273427	10.81484946	11.87766757	11.86031105	12.197831	11.98714556	10.92184094	11.4807902	11.03823313	11.16762722
orf19.1012	10.09934781	9.743151394	9.856425529	9.907391444	10.55074679	10.13057056	10.08214904	10.27029533	9.896332404	9.642051693	10.10328781	9.892795766	10.58025857	10.47876962	10.55842071	10.53980504	10.91363743	11.07948478	11.20151134	11.06967353	10.07414146	9.845490051	10.4314976	10.13741813	10.32642949	10.36413466	10.49685378	10.39767463	11.06474276	10.72877085	11.38424412	11.08392248	10.24911345	10.42940674	11.30035256	10.73640193	11.58965115	10.90237511	11.75321675	11.45943162
orf19.102	9.417852515	9.199672345	9.700439718	9.453956489	8.28077077	9.236014192	9.116343961	8.93565618	9.21916852	8.982993575	9.095397023	9.102413183	9.366322214	9.276124405	9.588714636	9.416445694	7.22881869	7.400879436	6.882643049	7.186526969	9.544964433	9.77807713	9.703903573	9.678893519	8.6794801	9.59058705	9.074141463	9.163230349	9.625708843	9.269126679	9.366322214	9.428360173	8.17990909	8.164906927	8.21916852	8.188176706	6.539158811	7.451211112	6.491853096	6.898853276
orf19.1026	10.19721669	9.990103964	10.45532722	10.22681355	8.851749041	9.531381461	9.447083226	9.306821202	10.18858885	9.394462695	9.581200582	9.762658868	10.29462075	10.19229281	10.34207467	10.27767486	9.791162889	9.871905238	9.519636253	9.735273944	10.24079133	10.47876962	10.07280253	10.2737956	9.413627929	9.955649908	9.290018847	9.583082768	10.18239435	9.839203788	9.815383296	9.955649908	9.231221181	9.296916207	9.221587121	9.250298418	9.799281622	10.02375435	9.599912842	9.818049523
orf19.1026.1	7.159871337	7.169925001	7.721099189	7.375039431	6.087462841	6.906890596	6.554588852	6.554588852	7.209453366	6.50779464	6.658211483	6.824428435	7.839203788	7.832890014	8.21916852	7.975370334	7.50779464	7.475733431	7.459431619	7.48112669	7.409390936	7.781359714	7.238404739	7.494522283	7.118941073	7.499845887	7.257387843	7.300733873	8.082149041	7.614709844	7.707359132	7.815916935	6.569855608	6.807354922	6.882643049	6.759333407	7.375039431	7.721099189	7.276124405	7.470319935
orf19.1027	10.11504365	9.09011242	9.605479518	9.663558104	10.02097994	9.965784285	10.08746284	10.025601	10.34540525	11.9199806	11.29863541	11.32474311	11.26971112	11.23242093	10.72280753	11.09561679	10.66266838	11.02652344	10.71938882	10.81190982	10.03066714	9.675957033	9.717676423	9.816983623	10.18239435	10.53818893	10.43775207	10.39374796	10.25148241	11.33091688	10.46454575	10.76155123	10.29920802	10.93884446	10.5028318	10.60547952	10.40939094	10.40194612	10.2644426	10.36011549
orf19.1028	7.62935662	7.383704292	7.900866808	7.653442238	7.118941073	6.918863237	6.906890596	6.984893108	8.882643049	9.434628228	9.398743692	9.259743264	9.837627933	9.890264277	9.531381461	9.761551232	8.787902559	8.703903573	8.873444113	8.790076931	7.247927513	7.924812504	7.794415866	7.684164179	6.700439718	7.330916878	6.918863237	7.007494537	9.832890014	9.722807531	9.45532722	9.678893519	7.622051819	7.832890014	7.918863237	7.79658045	9.733015322	9.13442632	9.681238412	9.54045097
orf19.1029	8.17990909	7.87036472	8.479780264	8.198035708	6.044394119	7.055282436	6.906890596	6.732450113	8.588714636	8.714245518	8.77478706	8.69464808	9.881113961	9.763212367	9.20701432	9.645658432	9.063395081	9.366322214	9.554588852	9.342074668	7.876516947	8.562242424	7.851749041	8.136136688	6.794415866	7.651051691	7.044394119	7.209453366	8.668884984	9.991521846	9.335390355	9.431149337	6.95419631	7.672425342	7.491853096	7.403722186	10.07414146	9.403012024	10.06877828	9.881113961
orf19.103	5.357552005	4.247927513	5.169925001	5	5	4.906890596	5.357552005	5.101538026	5.459431619	5.584962501	5.807354922	5.624490865	6.807354922	7.076815597	6.820178962	6.906890596	4.459431619	4.857980995	4.392317423	4.584962501	5.129283017	4.523561956	5.357552005	5.044394119	3.169925001	4.906890596	3.906890596	4.169925001	6.339850003	6.169925001	5.882643049	6.142957954	4.392317423	4.247927513	3.584962501	4.115477217	4.700439718	4.700439718	4.807354922	4.736965594
orf19.1030	13.05646837	12.77848786	13.51051694	13.14715191	12.08281434	12.42940674	12.70584834	12.42827292	12.32305476	11.11243951	11.16553514	11.64910645	12.08115052	12.07614753	11.49785184	11.9097681	9.479780264	9.695228291	10.21067134	9.828665428	12.68496773	13.01628598	12.73830341	12.82064436	10.62388149	11.27496047	10.63390341	10.87779537	11.58355293	12.24555271	11.58965115	11.84117119	9.335390355	10.39124359	9.805743872	9.908892948	11.08812569	10.55170826	10.85018684	10.8465351
orf19.1031	12.40753333	12.22430321	12.39874369	12.3459596	11.69174352	12.1589252	11.90425828	11.93098368	12.72302093	12.65306898	12.54954404	12.64363075	12.25827158	12.27554256	12.18673329	12.24069197	10.92035286	11.16050175	10.91587938	11.00351791	12.32136443	12.37041497	12.10394343	12.26980851	11.49235395	12.11666886	11.69130733	11.79075575	11.86147468	12.27146303	12.08281434	12.08159439	11.30092449	11.58261245	11.25384748	11.38658105	10.49485558	10.85953479	10.40514146	10.60022267
orf19.1032	9.652844973	9.449148645	9.645658432	9.585588535	9.897845456	10.10328781	9.789533645	9.936147143	9.696967526	10.4419067	9.824958741	10.0260623	11.10328781	11.19537221	10.08613623	10.87446912	10.08878824	10.215533	10.12670447	10.14465824	9.952741247	9.978710459	9.609178738	9.856425529	9.027905997	9.686500527	8.97441459	9.267567009	8.942514505	10.94104761	9.677719642	10.09319746	9.353146825	9.700439718	9.139551352	9.416445694	10.78463485	10.47573343	10.42940674	10.57206857
orf19.1033	11.29519496	10.55170826	11.23242093	11.06339508	11.44397954	11.23541594	11.50432245	11.39909987	11.37721053	9.813781191	10.04712391	10.58808996	10.81137469	10.72109919	11.09605624	10.88518793	10.55650605	10.71596199	10.79197682	10.69145274	10.80976813	10.79522797	11.37449615	11.01935906	11.76362735	12.02997735	11.97190275	11.92629599	11.60084211	10.61930296	11.09143539	11.15924065	11.29806257	10.99152185	11.2848241	11.19824039	10.76818432	10.87113518	10.67771964	10.77451255
orf19.1034	9.674192268	8.426264755	8.84862294	9.078595604	11.93553341	10.53915881	11.08679969	11.30301963	11.11829223	10.24792751	10.37068741	10.63269233	9.556506055	9.537218401	9.927777962	9.685332826	9.453270634	9.87958325	10.4252159	9.97441459	9.544964433	8.721099189	10.77478706	9.927284142	10.33203655	9.355351096	10.71767642	10.23999624	9.73978061	9.28771238	9.758223215	9.611024797	11.29289676	11.45018025	11.891404	11.56763924	10.23840474	9.920352855	10.34983409	10.18073799
orf19.1035	9.290018847	8.864186145	9.330916878	9.176588732	8.361943774	8.707359132	8.888743249	8.668884984	9.575539247	9.903881846	9.62388149	9.708509148	9.649256178	9.792790294	9.453270634	9.638435914	9.475733431	8.960001932	9.068778278	9.185701392	8.927777962	9.038918989	8.632995197	8.876516947	8.622051819	8.781359714	8.447083226	8.623271857	8.204571144	9.398743692	8.46760555	8.785724906	8.503825738	9.092757141	8.960001932	8.873444113	9.445014846	9.426264755	8.826548487	9.259743264
orf19.1036	11.14593215	10.69696753	11.07146236	10.98441846	11.20701432	11.10459875	11.08746284	11.13399841	10.88874325	10.51274046	10.51668495	10.65045343	11.57506646	11.64700864	11.57317378	11.59882793	11.56128795	11.46811489	11.35149141	11.46284305	10.9248125	10.90237511	10.99223026	10.9403136	11.16302064	11.35093918	11.28250931	11.26756701	11.47319838	11.52649924	11.22701419	11.41468524	10.80251637	10.72877085	10.78790256	10.77341398	11.94471206	11.66133275	11.43879185	11.69653291
