orf19.xxx	wt_no_dox_no_HS_Rep.A	wt_no_dox_no_HS_Rep.B	wt_no_dox_no_HS_Rep.C	wt_no_dox_no_HS_Mean	wt_dox_no_HS_Rep.A	wt_dox_no_HS_Rep.B	wt_dox_no_HS_Rep.C	wt_dox_no_HS_Mean	wt_dox_10_HS_Rep.A	wt_dox_10_HS_Rep.B	wt_dox_10_HS_Rep.C	wt_dox_10_HS_Mean	wt_dox_30_HS_Rep.A	wt_dox_30_HS_Rep.B	wt_dox_30_HS_Rep.C	wt_dox_30_HS_Mean	wt_dox_60_HS_Rep.A	wt_dox_60_HS_Rep.B	wt_dox_60_HS_Rep.C	wt_dox_60_HS_Mean	tet90_no_dox_no_HS_Rep.A	tet90_no_dox_no_HS_Rep.B	tet90_no_dox_no_HS_Rep.C	tet90_no_dox_no_HS_Mean	tet90_dox_no_HS_Rep.A	tet90_dox_no_HS_Rep.B	tet90_dox_no_HS_Rep.C	tet90_dox_no_HS_Mean	tet90_dox_10_HS_Rep.A	tet90_dox_10_HS_Rep.B	tet90_dox_10_HS_Rep.C	tet90_dox_10_HS_Mean	tet90_dox_30_HS_Rep.A	tet90_dox_30_HS_Rep.B	tet90_dox_30_HS_Rep.C	tet90_dox_30_HS_Mean	tet90_dox_60_HS_Rep.A	tet90_dox_60_HS_Rep.B	tet90_dox_60_HS_Rep.C	tet90_dox_60_HS_Mean
orf19.2212	5.832890014	5.700439718	6.06608919	5.874469118	5.285402219	6.087462841	5.459431619	5.653442239	6.554588852	6.741466986	6.459431619	6.589963182	6.930737338	7.044394119	7.209453366	7.06608919	6.988684687	6.768184325	6.768184325	6.845490051	6.087462841	6.491853096	6.209453366	6.273018494	5.95419631	6.459431619	5.700439718	6.073248982	6.539158811	6.714245518	6.741466986	6.667702932	6.426264755	6.375039431	5.906890596	6.254241287	7.238404739	7.199672345	6.977279923	7.142957954
orf19.2213	8.139551352	8.044394119	8.17990909	8.122396632	7.442943496	7.994353437	7.930737338	7.809500194	8.82336724	8.703903573	8.632995197	8.722238308	9.321928095	9.422064766	9.417852515	9.388017285	9.221587121	9.092757141	8.876516947	9.070568223	8.636624621	8.577428828	8.348728154	8.52617317	7.531381461	8.370687407	7.658211483	7.902877533	8.816983623	9.011227255	8.721099189	8.854868383	8.266786541	8.330916878	8.159871337	8.254241287	9.533329732	9.357552005	9.082149041	9.336134587
orf19.2214	11.68299458	11.57601187	12.07881795	11.79590437	9.862637358	11.25797706	11.36303963	10.96914665	11.31628153	10.95492329	10.91587938	11.07391839	10.88034881	10.92035286	11.08148344	10.96337779	10.25148241	10.18363538	9.962896005	10.13784503	12.04302728	12.29145852	11.59712143	12.00503968	10.99010396	11.97441459	11.08945048	11.42294077	11.3426303	11.09077405	10.93810933	11.13357038	10.74146699	11.01122726	10.46147945	10.75544399	9.758223215	9.773139207	9.430452552	9.662371677
orf19.2215	10.30833903	9.828136484	10.22881869	10.13656396	9.903881846	9.891783703	10.13314221	9.980615636	10.41468524	10.29001885	10.00281502	10.24594878	10.63934071	10.71424552	10.65284497	10.66918035	11.25620869	10.78135971	10.70735913	10.93614714	10.84392105	10.63117706	10.34540525	10.62113611	10.59525748	10.74062404	10.37177664	10.57711407	9.955649908	10.50481899	9.918863237	10.15228484	10.50878516	10.45224124	9.95419631	10.32568023	11.51471405	10.91960824	10.67065625	11.07970699
orf19.2216	10.52747701	10.42626475	10.38478375	10.44742767	10.13955135	10.56414949	10.4918531	10.41009797	11.29404631	11.64160022	11.5028318	11.48649986	11.92629599	12.02236781	11.52747701	11.84077792	11.48884435	11.44346161	11.47471995	11.46913302	11.18982456	10.92555444	10.67595703	10.94568768	10.73216743	10.92925841	10.69870467	10.7903485	10.666224	11.63254088	11.28193003	11.2467406	11.19967234	11.28077077	11.08547246	11.19085351	12.20212382	11.64610864	11.6930513	11.86985085
orf19.2219	10.60733031	9.815383296	10.13314221	10.22239242	11.62250945	10.76487159	11.2772874	11.26346483	10.60269887	10.51569984	10.2644426	10.46794513	10.92999806	10.96289601	10.91587938	10.93639256	10.40407714	10.30833903	10.12153352	10.28270235	11.33817925	10.52552081	11.04984855	11.00912879	11.59572369	10.93369065	11.33259606	11.31250484	10.19229281	10.53332973	10.38262403	10.37612539	10.65105169	10.70390357	10.26561505	10.55298923	10.49585503	10.66444728	9.784634846	10.36230915
orf19.2220	0	1.584962501	1	1	5.129283017	2.321928095	2.321928095	3.906890596	2	3.459431619	2.321928095	2.736965594	5.832890014	6.06608919	6.209453366	6.044394119	4.64385619	5.209453366	5.906890596	5.345774837	2	2	2.321928095	2.115477217	7.257387843	3.700439718	8.693486957	7.594946589	3.321928095	4.857980995	5.044394119	4.584962501	5	4.459431619	7.475733431	6.273018494	6.95419631	7.285402219	7.266786541	7.176588732
orf19.2222	10.32755264	9.926295995	10.17367714	10.1518622	9.839203788	10.22158712	9.977279923	10.02144271	10.24436384	10.24317398	10.01820018	10.17242751	9.970105891	9.836050355	9.826548487	9.879072652	10.84392105	10.50481899	10.40620501	10.59743185	10.69696753	10.41996018	10.2467406	10.46658634	10.21310422	10.61562964	9.952741247	10.28655776	9.368506462	9.902375114	9.48984796	9.605479518	10.30606169	10.36194377	9.994353437	10.22961997	10.90839262	10.34651373	10.12282799	10.49818437
orf19.2227	8.103287808	7.357552005	7.851749041	7.803054784	8.118941073	7.74819285	8.076815597	7.990576746	7.577428828	6.942514505	7.294620749	7.294620749	9.157346935	9.082149041	10.01820018	9.485158444	9.682994584	9.533329732	9.124121312	9.465566405	9.243173983	8.573647187	8.813781191	8.903881846	8.584962501	8.422064766	8.276124405	8.433237678	9.573647187	8.781359714	9.076815597	9.181566408	8.071462363	7.74819285	8.098032083	7.981091538	10.033423	10.52160044	9.505811554	10.07904026
orf19.2228	9.172427509	8.463524373	8.640244936	8.791162889	9.055282436	8.6794801	8.87958325	8.87958325	8.581200582	8.451211112	8.832890014	8.630570499	9.857980995	9.544964433	9.696967526	9.705632387	9.923327485	10.3553511	9.515699838	9.972022456	9.335390355	9.036173613	9.154818109	9.180737987	9.428360173	9.243173983	9.13442632	9.273795599	9.864186145	9.471675214	9.710806434	9.691161905	9.189824559	9.167418146	9.5980525	9.332409579	10.28886607	10.18858885	10.17367714	10.2179577
